id,company_name,industry,employees,revenue_millions,city,country,founded_year
1,Future Ltd 95,Healthcare,49278,428.56,London,Australia,1981
2,Global Solutions 41,Energy,11990,48.33,Sydney,Japan,1978
3,Future Holdings 27,Retail,32752,404.84,London,USA,2013
4,Omega Group 14,Real Estate,15210,463.89,Tokyo,UK,1983
5,Future Ltd 66,Real Estate,34610,215.74,Sydney,Australia,1957
6,Omega Group 55,Automotive,37511,260.28,San Francisco,USA,2017
7,Tech Holdings 5,Energy,44551,425.56,New York,UK,1968
8,Smart Inc 58,Energy,33837,226.57,Tokyo,Germany,1980
9,Global Systems 18,Healthcare,3835,401.73,London,Canada,1972
10,Alpha Systems 18,Real Estate,41096,99.55,Bangalore,Australia,1995
11,Prime Holdings 1,Energy,2016,246.95,Toronto,UK,2000
12,Smart Inc 32,Real Estate,15292,226.47,Toronto,UK,2002
13,Alpha Inc 69,Healthcare,43283,490.21,Sydney,Canada,2001
14,Alpha Corp 69,Retail,1484,394.44,Sydney,India,1975
15,Tech Systems 75,Technology,9912,233.58,Sydney,Australia,1972
16,Global Group 34,Real Estate,15986,63.03,Tokyo,Australia,1975
17,Tech Group 74,Technology,6623,237.83,New York,USA,2009
18,Prime Solutions 9,Healthcare,977,452.1,Tokyo,Australia,1974
19,Future Solutions 39,Automotive,24085,51.18,Toronto,Australia,1977
20,Prime Holdings 2,Real Estate,6660,373.29,Tokyo,Germany,1971
21,Omega Group 8,Retail,10931,283.57,Bangalore,Germany,1976
22,Tech Holdings 68,Automotive,9747,29.22,Bangalore,India,2015
23,Global Group 13,Automotive,31131,414.57,Tokyo,USA,1959
24,Global Ltd 36,Technology,5353,343.68,London,Canada,1972
25,Prime Inc 47,Healthcare,43278,482.68,New York,Japan,2015
26,Smart Inc 77,Technology,11721,377.4,London,UK,1975
27,Tech Inc 37,Real Estate,41385,279.24,Berlin,Germany,1994
28,Global Inc 38,Technology,39454,336.63,Bangalore,UK,2009
29,Smart Holdings 64,Retail,38563,286.19,Tokyo,Australia,2004
30,Omega Ltd 43,Energy,24352,408.18,London,Japan,1987
31,Eco Group 72,Healthcare,31734,190.89,Tokyo,Canada,1956
32,Omega Corp 84,Real Estate,16150,197.38,Toronto,Australia,2006
33,Eco Solutions 6,Automotive,45310,385.72,New York,Canada,2005
34,Smart Ltd 9,Technology,37598,308.3,San Francisco,Japan,1976
35,Omega Systems 37,Technology,5894,369.56,New York,UK,1955
36,Alpha Corp 64,Technology,41925,276.28,New York,Japan,1959
37,Omega Group 93,Real Estate,49642,159.43,London,India,1963
38,Alpha Holdings 26,Healthcare,22269,208.66,New York,Japan,1963
39,Tech Systems 95,Automotive,28547,445.29,Berlin,Germany,2015
40,Eco Group 82,Energy,35598,273.78,San Francisco,Australia,1953
41,Eco Inc 36,Retail,33194,57.83,Sydney,Canada,1997
42,Eco Group 40,Energy,32648,413.73,Bangalore,USA,1992
43,Global Inc 7,Finance,28186,405.44,San Francisco,Germany,2001
44,Future Ltd 77,Retail,16220,307.96,San Francisco,UK,1972
45,Alpha Systems 78,Retail,43795,57.35,Sydney,Australia,2018
46,Global Inc 41,Energy,30795,322.49,Berlin,Germany,1959
47,Eco Group 40,Retail,19366,42.34,Berlin,Australia,1973
48,Smart Solutions 78,Retail,4532,423.17,Bangalore,Canada,1959
49,Eco Ltd 22,Healthcare,7837,184.51,Toronto,Australia,1999
50,Global Group 40,Real Estate,24451,247.93,London,Australia,1997
51,Future Solutions 45,Energy,9440,417.81,Bangalore,UK,1963
52,Global Holdings 42,Retail,7688,328.8,London,Canada,1965
53,Eco Systems 1,Technology,31254,137.81,San Francisco,UK,2005
54,Prime Solutions 74,Automotive,36421,344.22,London,Canada,1972
55,Prime Inc 15,Healthcare,33625,349.9,Bangalore,Canada,1972
56,Eco Group 40,Technology,23385,155.95,Toronto,Germany,1978
57,Future Holdings 13,Healthcare,34919,455.9,Bangalore,Canada,2013
58,Prime Corp 60,Technology,2447,450.2,San Francisco,Japan,1970
59,Eco Corp 47,Healthcare,31526,338.86,San Francisco,India,2021
60,Prime Inc 72,Automotive,17342,369.25,New York,UK,2014
61,Global Solutions 18,Healthcare,31322,96.64,Sydney,India,2013
62,Global Ltd 16,Retail,29929,219.79,Bangalore,USA,1962
63,Prime Inc 7,Healthcare,36227,30.56,Berlin,UK,1975
64,Future Group 15,Energy,6419,497.74,San Francisco,Canada,1958
65,Smart Inc 92,Energy,49476,34.34,Sydney,Australia,2016
66,Tech Group 12,Automotive,1477,113.44,Tokyo,Canada,1968
67,Alpha Holdings 13,Finance,3566,126.31,New York,Australia,1959
68,Eco Corp 32,Technology,5571,82.8,San Francisco,India,1988
69,Eco Corp 74,Energy,33916,173.89,Sydney,Germany,1987
70,Prime Ltd 98,Real Estate,43234,152.57,Berlin,UK,2014
71,Tech Inc 56,Retail,12490,470.44,Sydney,UK,2018
72,Omega Systems 70,Technology,26438,321.39,Bangalore,Japan,1994
73,Prime Group 33,Energy,27259,212.41,Tokyo,UK,2020
74,Eco Holdings 50,Finance,44541,184.52,San Francisco,UK,1979
75,Global Inc 2,Finance,2220,451.24,London,Australia,2012
76,Smart Corp 86,Automotive,13810,425.92,London,Germany,1979
77,Prime Inc 43,Automotive,40818,63.72,Berlin,Japan,1966
78,Global Solutions 80,Energy,11455,391.85,London,Japan,1998
79,Tech Holdings 13,Real Estate,32967,166.45,Toronto,Japan,1960
80,Omega Group 41,Retail,10169,295.08,Bangalore,Germany,1976
81,Future Group 64,Energy,19790,88.43,Toronto,UK,1989
82,Omega Inc 12,Finance,6923,141.61,London,India,2008
83,Prime Solutions 45,Technology,46888,22.76,Bangalore,India,1978
84,Alpha Group 69,Technology,47322,16.21,Sydney,UK,2003
85,Eco Inc 77,Healthcare,46137,347.26,San Francisco,India,1958
86,Global Ltd 16,Automotive,11474,106.38,New York,Australia,1951
87,Prime Inc 31,Retail,11708,141.78,Berlin,India,1952
88,Eco Ltd 59,Finance,8758,177.94,Toronto,USA,2001
89,Future Systems 21,Finance,39445,175.53,New York,Germany,1980
90,Omega Inc 89,Technology,32847,178.2,Berlin,Germany,1965
91,Alpha Corp 72,Real Estate,1365,188.91,Toronto,Japan,2000
92,Smart Ltd 43,Technology,19887,399.68,New York,Australia,2007
93,Global Holdings 45,Energy,45114,287.16,Toronto,USA,1980
94,Alpha Corp 49,Energy,40094,369.05,London,India,2006
95,Omega Systems 44,Healthcare,49929,382.13,Bangalore,Germany,1963
96,Eco Group 38,Energy,36114,205.27,Tokyo,Canada,1966
97,Alpha Systems 31,Finance,34012,196.73,Tokyo,Japan,1985
98,Tech Ltd 97,Real Estate,45270,154.71,Toronto,Germany,1988
99,Future Corp 62,Automotive,35681,352.82,Bangalore,India,1994
100,Omega Solutions 43,Finance,34096,147.17,Bangalore,Canada,2005
101,Tech Corp 47,Energy,37361,428.9,San Francisco,Canada,1962
102,Eco Group 16,Retail,28975,268.76,Toronto,India,1978
103,Omega Inc 44,Finance,22342,156.89,Toronto,Australia,2004
104,Global Ltd 48,Technology,29092,150.34,New York,India,1970
105,Global Solutions 25,Healthcare,15151,90.41,London,Japan,1960
106,Eco Group 13,Retail,2466,368.0,San Francisco,Germany,1986
107,Smart Corp 29,Automotive,2915,219.15,Sydney,USA,1987
108,Alpha Holdings 43,Energy,31994,153.23,Tokyo,Australia,1980
109,Eco Group 89,Automotive,34052,103.48,Bangalore,UK,1989
110,Tech Solutions 28,Finance,41233,455.52,Tokyo,Germany,1995
111,Global Group 20,Technology,24672,89.27,Sydney,UK,1962
112,Smart Group 81,Automotive,16247,104.2,London,Germany,2023
113,Prime Corp 37,Real Estate,30483,297.8,Tokyo,Australia,1988
114,Omega Ltd 29,Retail,24005,109.72,London,Canada,1969
115,Tech Corp 85,Technology,18870,260.48,London,Germany,1998
116,Omega Solutions 76,Healthcare,49452,497.05,Sydney,Australia,1994
117,Future Corp 51,Retail,3304,421.24,London,Australia,2023
118,Eco Group 36,Healthcare,46971,282.13,London,Japan,2014
119,Alpha Group 95,Energy,12128,316.06,Sydney,Germany,1951
